Date,Time,Session,Open,High,Low,Close,Volume
2026-01-02,05:30:00,MORNING,4318.41,4318.41,4318.39,4318.39,1.1135
2026-01-02,05:31:00,MORNING,4318.41,4318.42,4318.39,4318.42,1.0727
2026-01-02,05:32:00,MORNING,4318.42,4318.42,4318.39,4318.39,1.1451
2026-01-02,05:33:00,MORNING,4318.39,4318.41,4318.39,4318.41,1.0899
2026-01-02,05:34:00,MORNING,4318.39,4318.41,4318.39,4318.39,1.0853
2026-01-02,05:35:00,MORNING,4318.39,4318.42,4318.38,4318.39,2.0719
2026-01-02,05:36:00,MORNING,4318.41,4318.41,4318.39,4318.39,1.1095
2026-01-02,05:37:00,MORNING,4318.39,4318.41,4318.36,4318.4,12.8101
2026-01-02,05:38:00,MORNING,4318.4,4318.42,4318.31,4318.31,13.0056
2026-01-02,05:39:00,MORNING,4318.31,4318.34,4318.3,4318.33,1.139
2026-01-02,05:40:00,MORNING,4318.31,4318.33,4318.31,4318.31,1.0649
2026-01-02,05:41:00,MORNING,4318.33,4318.33,4318.3,4318.31,1.1008
2026-01-02,05:42:00,MORNING,4318.31,4318.33,4318.31,4318.33,1.1444
2026-01-02,05:43:00,MORNING,4318.31,4318.33,4318.31,4318.33,1.0828
2026-01-02,05:44:00,MORNING,4318.33,4318.34,4318.31,4318.33,1.2298
2026-01-02,05:45:00,MORNING,4318.31,4318.33,4318.31,4318.31,1.1228
2026-01-02,05:46:00,MORNING,4318.31,4318.34,4318.31,4318.34,1.0647
2026-01-02,05:47:00,MORNING,4318.31,4318.34,4318.31,4318.34,1.0546
2026-01-02,05:48:00,MORNING,4318.34,4318.34,4318.31,4318.34,1.1062
2026-01-02,05:49:00,MORNING,4318.31,4318.34,4318.31,4318.31,1.316
2026-01-02,05:50:00,MORNING,4318.31,4318.34,4318.31,4318.31,1.1115
2026-01-02,05:51:00,MORNING,4318.31,4318.34,4318.31,4318.31,1.0566
2026-01-02,05:52:00,MORNING,4318.34,4318.34,4318.31,4318.34,1.0836
2026-01-02,05:53:00,MORNING,4318.31,4318.34,4318.31,4318.34,1.0631
2026-01-02,05:54:00,MORNING,4318.31,4318.34,4318.31,4318.31,1.0558
2026-01-02,05:55:00,MORNING,4318.34,4318.34,4318.3,4318.33,1.4215
2026-01-02,05:56:00,MORNING,4318.33,4318.34,4318.31,4318.33,1.1422
2026-01-02,05:57:00,MORNING,4318.33,4318.33,4318.31,4318.33,1.093
2026-01-02,05:58:00,MORNING,4318.31,4318.34,4318.3,4318.31,2.1278
2026-01-02,05:59:00,MORNING,4318.31,4318.33,4318.31,4318.31,1.0315
2026-01-02,06:00:00,MORNING,4318.31,4318.86,4318.31,4318.84,1.0836
2026-01-02,06:01:00,MORNING,4318.84,4318.86,4318.84,4318.84,1.1237
2026-01-02,06:02:00,MORNING,4318.84,4318.86,4318.84,4318.86,1.046
2026-01-02,06:03:00,MORNING,4318.84,4318.86,4318.84,4318.86,1.0568
2026-01-02,06:04:00,MORNING,4318.86,4318.87,4318.84,4318.84,1.1346
2026-01-02,06:05:00,MORNING,4318.84,4318.86,4318.84,4318.86,1.1299
2026-01-02,06:06:00,MORNING,4318.84,4318.86,4318.84,4318.84,1.0629
2026-01-02,06:07:00,MORNING,4318.86,4318.86,4318.84,4318.86,1.058
2026-01-02,06:08:00,MORNING,4318.84,4318.86,4318.84,4318.86,1.0719
2026-01-02,06:09:00,MORNING,4318.86,4318.86,4318.84,4318.86,1.0781
2026-01-02,06:10:00,MORNING,4318.84,4318.87,4318.83,4318.84,1.6515
2026-01-02,06:11:00,MORNING,4318.84,4318.87,4318.83,4318.84,10.6318
2026-01-02,06:12:00,MORNING,4318.86,4318.87,4318.84,4318.86,6.9834
2026-01-02,06:13:00,MORNING,4318.84,4318.87,4318.83,4318.86,6.7156
2026-01-02,06:14:00,MORNING,4318.84,4318.87,4318.83,4318.86,9.3607
2026-01-02,06:15:00,MORNING,4318.86,4318.87,4318.83,4318.86,21.4903
2026-01-02,06:16:00,MORNING,4318.84,4318.86,4318.83,4318.86,8.8218
2026-01-02,06:17:00,MORNING,4318.84,4318.87,4318.83,4318.84,16.1203
2026-01-02,06:18:00,MORNING,4318.86,4318.87,4318.83,4318.86,22.335
2026-01-02,06:19:00,MORNING,4318.84,4318.87,4318.83,4318.86,18.6446
2026-01-02,06:20:00,MORNING,4318.86,4318.87,4318.83,4318.84,32.0048
2026-01-02,06:21:00,MORNING,4318.86,4318.86,4318.84,4318.84,1.0377
2026-01-02,06:22:00,MORNING,4318.86,4318.86,4318.84,4318.84,1.0855
2026-01-02,06:23:00,MORNING,4318.84,4318.86,4318.84,4318.86,1.107
2026-01-02,06:24:00,MORNING,4318.84,4318.86,4318.84,4318.86,1.0531
2026-01-02,06:25:00,MORNING,4318.86,4318.86,4318.84,4318.84,1.0564
2026-01-02,06:26:00,MORNING,4318.84,4318.86,4318.84,4318.86,1.0382
2026-01-02,06:27:00,MORNING,4318.86,4318.86,4318.84,4318.86,1.0635
2026-01-02,06:28:00,MORNING,4318.84,4318.86,4318.84,4318.86,1.0962
2026-01-02,06:29:00,MORNING,4318.86,4318.86,4318.84,4318.86,1.0492
2026-01-02,06:30:00,MORNING,4318.84,4318.86,4318.84,4318.86,1.1296
2026-01-02,06:31:00,MORNING,4318.86,4318.86,4318.84,4318.84,1.1009
2026-01-02,06:32:00,MORNING,4318.86,4318.86,4318.84,4318.86,1.105
2026-01-02,06:33:00,MORNING,4318.86,4318.86,4318.84,4318.86,1.1044
2026-01-02,06:34:00,MORNING,4318.84,4318.86,4318.84,4318.84,1.0914
2026-01-02,06:35:00,MORNING,4318.84,4318.86,4318.84,4318.84,1.0567
2026-01-02,06:36:00,MORNING,4318.84,4318.86,4318.84,4318.84,1.1023
2026-01-02,06:37:00,MORNING,4318.86,4318.86,4318.84,4318.84,1.0773
2026-01-02,06:38:00,MORNING,4318.84,4318.86,4318.84,4318.84,1.0985
2026-01-02,06:39:00,MORNING,4318.84,4318.86,4318.84,4318.84,1.1206
2026-01-02,06:40:00,MORNING,4318.86,4318.86,4318.84,4318.86,1.0901
2026-01-02,06:41:00,MORNING,4318.84,4318.86,4318.84,4318.84,1.0607
2026-01-02,06:42:00,MORNING,4318.84,4318.86,4318.84,4318.86,1.0746
2026-01-02,06:43:00,MORNING,4318.86,4318.86,4318.84,4318.86,1.0523
2026-01-02,06:44:00,MORNING,4318.84,4318.86,4318.84,4318.84,1.1206
2026-01-02,06:45:00,MORNING,4318.84,4318.86,4318.84,4318.86,1.1194
2026-01-02,06:46:00,MORNING,4318.86,4318.86,4318.84,4318.84,1.0538
2026-01-02,06:47:00,MORNING,4318.84,4318.86,4318.84,4318.86,1.074
2026-01-02,06:48:00,MORNING,4318.86,4318.86,4318.84,4318.84,1.106
2026-01-02,06:49:00,MORNING,4318.86,4318.86,4318.84,4318.84,1.1124
