日時,日付,時刻,始値,高値,安値,終値,出来高
2026-02-11 00:00:00,2026-02-11,00:00:00,5039.66,5039.66,5031.77,5031.89,232.7713
2026-02-11 00:01:00,2026-02-11,00:01:00,5031.93,5036.45,5030.63,5035.09,279.1660
2026-02-11 00:02:00,2026-02-11,00:02:00,5036.57,5036.57,5027.28,5031.40,113.2790
2026-02-11 00:03:00,2026-02-11,00:03:00,5032.62,5034.56,5030.37,5030.46,86.1637
2026-02-11 00:04:00,2026-02-11,00:04:00,5031.71,5034.43,5030.01,5033.27,49.8317
2026-02-11 00:05:00,2026-02-11,00:05:00,5035.62,5036.93,5034.02,5035.92,47.7669
2026-02-11 00:06:00,2026-02-11,00:06:00,5035.92,5042.34,5035.11,5041.00,452.3599
2026-02-11 00:07:00,2026-02-11,00:07:00,5042.37,5042.49,5035.95,5035.95,186.8229
2026-02-11 00:08:00,2026-02-11,00:08:00,5037.01,5039.65,5035.61,5037.79,46.8861
2026-02-11 00:09:00,2026-02-11,00:09:00,5037.73,5041.44,5035.09,5041.23,49.8648
2026-02-11 00:10:00,2026-02-11,00:10:00,5041.40,5041.41,5036.95,5039.51,129.3377
2026-02-11 00:11:00,2026-02-11,00:11:00,5039.47,5043.61,5039.45,5040.92,86.8289
2026-02-11 00:12:00,2026-02-11,00:12:00,5040.92,5042.23,5038.77,5040.60,87.7582
2026-02-11 00:13:00,2026-02-11,00:13:00,5040.60,5043.16,5040.06,5040.52,11.7309
2026-02-11 00:14:00,2026-02-11,00:14:00,5040.52,5043.15,5040.07,5041.87,20.5931
2026-02-11 00:15:00,2026-02-11,00:15:00,5041.87,5042.67,5035.88,5037.94,120.4048
2026-02-11 00:16:00,2026-02-11,00:16:00,5038.20,5039.93,5038.20,5038.50,28.6738
2026-02-11 00:17:00,2026-02-11,00:17:00,5038.35,5039.96,5037.60,5039.35,22.4614
2026-02-11 00:18:00,2026-02-11,00:18:00,5039.35,5040.12,5037.80,5038.70,48.2218
2026-02-11 00:19:00,2026-02-11,00:19:00,5039.25,5043.16,5039.23,5041.78,404.1490
2026-02-11 00:20:00,2026-02-11,00:20:00,5041.78,5044.51,5040.60,5044.51,23.9661
2026-02-11 00:21:00,2026-02-11,00:21:00,5044.51,5046.67,5042.82,5042.82,179.6491
2026-02-11 00:22:00,2026-02-11,00:22:00,5042.82,5047.39,5042.82,5047.32,103.5086
2026-02-11 00:23:00,2026-02-11,00:23:00,5047.29,5047.91,5045.23,5045.98,316.4384
