閉場日時,閉場価格,開場日時,開場価格,休場時間(h),タイプ,価格変動,変動率(%)
2025-11-01 05:59:00,4002.51,2025-11-03 08:00:00,4002.51,50.02,週末,+0.00,+0.000
2025-11-04 05:59:00,4010.14,2025-11-04 08:00:00,4001.18,2.02,日次休場,-8.96,-0.223
2025-11-05 05:59:00,3939.06,2025-11-05 08:00:00,3932.26,2.02,日次休場,-6.80,-0.173
2025-11-06 05:59:00,3984.48,2025-11-06 08:00:00,3980.24,2.02,日次休場,-4.24,-0.106
2025-11-07 05:59:00,3980.82,2025-11-07 08:00:00,3977.27,2.02,日次休場,-3.55,-0.089
2025-11-08 05:59:00,4003.97,2025-11-10 08:00:00,4000.69,50.02,週末,-3.28,-0.082
2025-11-11 05:59:00,4111.35,2025-11-11 08:00:00,4116.09,2.02,日次休場,+4.74,+0.115
2025-11-12 05:59:00,4130.04,2025-11-12 08:00:00,4127.04,2.02,日次休場,-3.00,-0.073
2025-11-13 05:59:00,4196.33,2025-11-13 08:00:00,4195.44,2.02,日次休場,-0.89,-0.021
2025-11-14 05:59:00,4164.30,2025-11-14 08:00:00,4171.28,2.02,日次休場,+6.98,+0.168
2025-11-15 05:59:00,4087.33,2025-11-17 08:00:00,4083.41,50.02,週末,-3.92,-0.096
2025-11-18 05:59:00,4040.30,2025-11-18 08:00:00,4045.16,2.02,日次休場,+4.86,+0.120
2025-11-19 05:59:00,4069.47,2025-11-19 08:00:00,4067.66,2.02,日次休場,-1.81,-0.044
2025-11-20 05:59:00,4076.36,2025-11-20 08:00:00,4078.23,2.02,日次休場,+1.87,+0.046
2025-11-21 05:59:00,4077.19,2025-11-21 08:00:00,4077.19,2.02,日次休場,+0.00,+0.000
2025-11-22 05:59:00,4067.66,2025-11-24 08:00:00,4065.35,50.02,週末,-2.31,-0.057
2025-11-25 05:59:00,4132.75,2025-11-25 08:00:00,4135.67,2.02,日次休場,+2.92,+0.071
2025-11-26 06:59:00,4131.13,2025-11-26 08:00:00,4131.13,1.02,メンテナンス,+0.00,+0.000
2025-11-27 06:59:00,4163.57,2025-11-27 08:00:00,4163.55,1.02,メンテナンス,-0.02,-0.000
2025-11-28 06:59:00,4157.64,2025-11-28 08:00:00,4157.64,1.02,メンテナンス,+0.00,+0.000
2025-11-29 06:59:00,4210.79,2025-12-01 08:00:00,4210.79,49.02,週末,+0.00,+0.000
2025-12-02 06:59:00,4231.53,2025-12-02 08:00:00,4231.51,1.02,メンテナンス,-0.02,-0.000
2025-12-03 06:59:00,4206.65,2025-12-03 08:00:00,4206.65,1.02,メンテナンス,+0.00,+0.000
2025-12-04 06:59:00,4203.14,2025-12-04 08:00:00,4203.16,1.02,メンテナンス,+0.02,+0.000
2025-12-05 06:59:00,4207.84,2025-12-05 08:00:00,4207.89,1.02,メンテナンス,+0.05,+0.001
2025-12-06 06:59:00,4197.93,2025-12-08 08:00:00,4197.93,49.02,週末,+0.00,+0.000
2025-12-09 06:59:00,4190.48,2025-12-09 08:00:00,4190.46,1.02,メンテナンス,-0.02,-0.000
2025-12-10 06:59:00,4207.86,2025-12-10 08:00:00,4207.84,1.02,メンテナンス,-0.02,-0.000
2025-12-11 06:59:00,4228.54,2025-12-11 08:00:00,4228.52,1.02,メンテナンス,-0.02,-0.000
2025-12-12 06:59:00,4280.56,2025-12-12 08:00:00,4280.56,1.02,メンテナンス,+0.00,+0.000
2025-12-13 06:59:00,4299.97,2025-12-15 08:00:00,4299.97,49.02,週末,+0.00,+0.000
2025-12-16 06:59:00,4305.52,2025-12-16 08:00:00,4305.52,1.02,メンテナンス,+0.00,+0.000
2025-12-17 06:59:00,4302.62,2025-12-17 08:00:00,4302.60,1.02,メンテナンス,-0.02,-0.000
2025-12-18 06:59:00,4338.47,2025-12-18 08:00:00,4338.47,1.02,メンテナンス,+0.00,+0.000
2025-12-19 06:59:00,4332.93,2025-12-19 08:00:00,4332.93,1.02,メンテナンス,+0.00,+0.000
2025-12-20 06:59:00,4338.75,2025-12-22 08:00:00,4338.77,49.02,週末,+0.02,+0.000
2025-12-23 06:59:00,4443.68,2025-12-23 08:00:00,4443.70,1.02,メンテナンス,+0.02,+0.000
2025-12-24 06:59:00,4484.80,2025-12-24 08:00:00,4484.80,1.02,メンテナンス,+0.00,+0.000
2025-12-25 06:59:00,4479.62,2025-12-25 08:00:00,4479.62,1.02,メンテナンス,+0.00,+0.000
2025-12-25 12:52:00,4479.58,2025-12-26 08:00:00,4479.58,19.13,日次休場,+0.00,+0.000
2025-12-27 06:59:00,4533.58,2025-12-29 08:00:00,4533.58,49.02,週末,+0.00,+0.000
2025-12-30 06:59:00,4332.22,2025-12-30 08:00:00,4332.23,1.02,メンテナンス,+0.01,+0.000
2025-12-31 06:59:00,4338.75,2025-12-31 08:00:00,4338.75,1.02,メンテナンス,+0.00,+0.000
2026-01-01 00:59:00,4336.95,2026-01-02 01:00:00,4318.25,24.02,週末,-18.70,-0.431
2026-01-02 06:59:00,4318.84,2026-01-02 08:00:00,4318.93,1.02,メンテナンス,+0.09,+0.002
2026-01-03 06:59:00,4332.40,2026-01-05 08:00:00,4332.40,49.02,週末,+0.00,+0.000
