日付,曜日,開始時刻,終了時刻,継続時間(分),開始価格,終了価格,価格変動,方向,変動率(%)
2026-01-02,Friday,01:07:00,01:50:00,43.0,25435.31,25434.19,-1.12,DOWN,-0.004
2026-01-02,Friday,09:45:00,09:47:00,2.0,25506.06,25503.57,-2.49,DOWN,-0.010
2026-01-02,Friday,10:49:00,10:58:00,9.0,25550.52,25554.18,+3.66,UP,+0.014
2026-01-02,Friday,18:40:00,18:50:00,10.0,25726.25,25724.85,-1.40,DOWN,-0.005
2026-01-02,Friday,19:05:00,19:10:00,5.0,25726.45,25726.45,+0.00,DOWN,+0.000
2026-01-02,Friday,19:17:00,19:21:00,4.0,25726.45,25722.25,-4.20,DOWN,-0.016
2026-01-02,Friday,19:54:00,20:15:00,21.0,25726.45,25726.42,-0.03,DOWN,-0.000
2026-01-02,Friday,21:10:00,21:11:00,1.0,25710.04,25685.63,-24.41,DOWN,-0.095
2026-01-03,Saturday,00:31:00,00:33:00,2.0,25500.01,25533.60,+33.59,UP,+0.132
2026-01-03,Saturday,02:55:00,02:59:00,4.0,25350.01,25322.10,-27.91,DOWN,-0.110
2026-01-03,Saturday,03:57:00,03:58:00,1.0,25329.06,25274.35,-54.71,DOWN,-0.216
2026-01-05,Monday,08:12:00,08:14:00,2.0,25442.01,25423.15,-18.86,DOWN,-0.074
2026-01-05,Monday,15:50:00,15:53:00,3.0,25479.27,25501.48,+22.21,UP,+0.087
2026-01-05,Monday,16:44:00,16:46:00,2.0,25469.41,25460.80,-8.61,DOWN,-0.034
2026-01-05,Monday,23:18:00,23:33:00,15.0,25599.96,25598.05,-1.91,DOWN,-0.007
2026-01-06,Tuesday,03:56:00,04:16:00,20.0,25620.60,25600.84,-19.76,DOWN,-0.077
2026-01-06,Tuesday,04:42:00,04:44:00,2.0,25585.85,25563.99,-21.86,DOWN,-0.085
2026-01-06,Tuesday,08:11:00,08:13:00,2.0,25586.71,25588.20,+1.49,UP,+0.006
2026-01-06,Tuesday,09:18:00,09:23:00,5.0,25566.01,25572.04,+6.03,UP,+0.024
2026-01-06,Tuesday,09:42:00,10:01:00,19.0,25566.04,25569.68,+3.64,UP,+0.014
2026-01-06,Tuesday,14:20:00,14:33:00,13.0,25647.51,25645.28,-2.23,DOWN,-0.009
2026-01-07,Wednesday,03:21:00,03:30:00,9.0,25761.71,25760.41,-1.30,DOWN,-0.005
2026-01-07,Wednesday,08:24:00,08:31:00,7.0,25828.47,25825.18,-3.29,DOWN,-0.013
2026-01-07,Wednesday,11:24:00,11:27:00,3.0,25812.98,25811.56,-1.42,DOWN,-0.006
2026-01-07,Wednesday,12:22:00,12:24:00,2.0,25815.19,25819.04,+3.85,UP,+0.015
2026-01-07,Wednesday,12:41:00,12:46:00,5.0,25813.55,25819.00,+5.45,UP,+0.021
2026-01-07,Wednesday,13:39:00,13:49:00,10.0,25782.88,25790.29,+7.41,UP,+0.029
2026-01-07,Wednesday,17:57:00,18:29:00,32.0,25769.96,25744.90,-25.06,DOWN,-0.097
2026-01-07,Wednesday,23:52:00,23:56:00,4.0,25840.99,25869.56,+28.57,UP,+0.111
2026-01-08,Thursday,03:28:00,03:31:00,3.0,25945.04,25940.04,-5.00,DOWN,-0.019
2026-01-08,Thursday,04:29:00,04:30:00,1.0,25906.70,25900.09,-6.61,DOWN,-0.026
2026-01-08,Thursday,04:40:00,04:48:00,8.0,25906.71,25914.25,+7.54,UP,+0.029
2026-01-08,Thursday,11:38:00,11:59:00,21.0,25825.02,25785.65,-39.37,DOWN,-0.152
2026-01-08,Thursday,14:21:00,14:22:00,1.0,25770.92,25765.62,-5.30,DOWN,-0.021
2026-01-09,Friday,10:28:00,10:37:00,9.0,25476.71,25456.05,-20.66,DOWN,-0.081
2026-01-09,Friday,17:13:00,17:34:00,21.0,25503.45,25503.48,+0.03,UP,+0.000
2026-01-09,Friday,17:42:00,17:49:00,7.0,25503.48,25496.92,-6.56,DOWN,-0.026
2026-01-09,Friday,18:31:00,18:33:00,2.0,25503.48,25537.38,+33.90,UP,+0.133
2026-01-10,Saturday,01:59:00,02:02:00,3.0,25736.47,25730.89,-5.58,DOWN,-0.022
2026-01-10,Saturday,02:10:00,02:15:00,5.0,25734.96,25726.90,-8.06,DOWN,-0.031
2026-01-12,Monday,14:21:00,14:23:00,2.0,25558.80,25551.09,-7.71,DOWN,-0.030
2026-01-12,Monday,14:51:00,14:53:00,2.0,25526.23,25527.50,+1.27,UP,+0.005
2026-01-12,Monday,22:58:00,23:02:00,4.0,25577.07,25575.25,-1.82,DOWN,-0.007
2026-01-12,Monday,23:14:00,23:17:00,3.0,25577.05,25571.29,-5.76,DOWN,-0.023
2026-01-13,Tuesday,01:11:00,01:13:00,2.0,25763.84,25769.20,+5.36,UP,+0.021
2026-01-14,Wednesday,11:31:00,11:44:00,13.0,25726.20,25726.45,+0.25,UP,+0.001
2026-01-14,Wednesday,20:56:00,21:03:00,7.0,25597.16,25557.62,-39.54,DOWN,-0.154
2026-01-14,Wednesday,21:45:00,22:00:00,15.0,25617.82,25619.47,+1.65,UP,+0.006
2026-01-14,Wednesday,23:15:00,23:18:00,3.0,25597.20,25594.26,-2.94,DOWN,-0.011
2026-01-15,Thursday,08:32:00,08:34:00,2.0,25408.81,25442.73,+33.92,UP,+0.133
2026-01-15,Thursday,12:31:00,12:51:00,20.0,25451.43,25434.64,-16.79,DOWN,-0.066
2026-01-15,Thursday,18:10:00,18:27:00,17.0,25580.96,25635.99,+55.03,UP,+0.215
