Symbol,Interval,Current_Rate(%),Daily_Rate(%),Method
ALTTOWN-USDT,1h,0.01,0.24,History_Search
BIBI-USDT,1h,-0.01,-0.24,History_Search
BROCCOLI-USDT,1h,0.005,0.12,History_Search
BUTTCOIN-USDT,1h,-0.1869,-4.4856,History_Search
CLAWD-USDT,1h,0.0232,0.5568,History_Search
COPPERINU-USDT,1h,-0.024800000000000003,-0.5952000000000001,History_Search
FISH-USDT,1h,0.01,0.24,History_Search
FIXIN1DAY-USDT,1h,0.01,0.24,History_Search
FKH-USDT,1h,-0.01,-0.24,History_Search
KABUTO-USDT,1h,0.01,0.24,History_Search
KIN-USDT,1h,-0.01,-0.24,History_Search
LIFEKLINE-USDT,1h,-0.01,-0.24,History_Search
MGO-USDT,1h,-0.01,-0.24,History_Search
MINER-USDT,1h,0.01,0.24,History_Search
OWL-USDT,1h,-0.0063,-0.1512,History_Search
RIVER-USDT,4h,0.005,0.12,History_Search
SENT-USDT,1h,-0.29550000000000004,-7.0920000000000005,History_Search
SNOWBALL-USDT,1h,0.01,0.24,History_Search
SPSC-USDT,1h,-0.01,-0.24,History_Search
SSS-USDT,1h,0.01,0.24,History_Search
SUP-USDT,1h,0.01,0.24,History_Search
TESTICLE-USDT,1h,-0.028200000000000003,-0.6768000000000001,History_Search
TIMI-USDT,1h,0.01,0.24,History_Search
TTIDE-USDT,1h,-0.01,-0.24,History_Search
VOOI-USDT,1h,-0.01,-0.24,History_Search
VSN-USDT,1h,-0.037399999999999996,-0.8976,History_Search
XION-USDT,1h,0.0013,0.0312,History_Search
XUEQIU-USDT,1h,-0.01,-0.24,History_Search
ZIL-USDT,1h,-0.31939999999999996,-7.6655999999999995,History_Search
ZK-USDT,1h,0.0013,0.0312,History_Search
ZKP-USDT,1h,-0.012799999999999999,-0.3072,History_Search
0G-USDT,4h,-0.056499999999999995,-0.33899999999999997,History_Search
1000000BABYDOGE-USDT,4h,0.005,0.03,History_Search
1000000BOB-USDT,4h,0.1963,1.1778,History_Search
1000000MOG-USDT,4h,0.005,0.03,History_Search
10000SATS-USDT,4h,0.005,0.03,History_Search
1000BONK-USDT,4h,-0.0026999999999999997,-0.0162,History_Search
1000CAT-USDT,4h,0.005,0.03,History_Search
1000CHEEMS-USDT,4h,0.005,0.03,History_Search
114514-USDT,4h,0.02,0.12,History_Search
2Z-USDT,4h,-0.006200000000000001,-0.037200000000000004,History_Search
4-USDT,4h,0.0272,0.16319999999999998,History_Search
A-USDT,4h,0.005,0.03,History_Search
A2Z-USDT,4h,0.005,0.03,History_Search
ACE-USDT,4h,0.005,0.03,History_Search
ACT-USDT,4h,-0.0085,-0.051000000000000004,History_Search
ACU-USDT,4h,0.005,0.03,History_Search
AERGO-USDT,4h,0.0006000000000000001,0.0036000000000000003,History_Search
AERO-USDT,4h,0.0024000000000000002,0.014400000000000001,History_Search
AEVO-USDT,4h,0.005,0.03,History_Search
AIA-USDT,4h,-0.0286,-0.1716,History_Search
AIAV-USDT,4h,0.02,0.12,History_Search
AIN-USDT,4h,0.005,0.03,History_Search
AIOT-USDT,4h,0.045399999999999996,0.2724,History_Search
AIXBT-USDT,4h,-0.0025,-0.015,History_Search
AKE-USDT,4h,0.025500000000000002,0.15300000000000002,History_Search
AKT-USDT,4h,-0.0073,-0.0438,History_Search
ALLO-USDT,4h,0.005,0.03,History_Search
ALPINE-USDT,4h,0.005,0.03,History_Search
ALT-USDT,4h,0.005,0.03,History_Search
ANIME-USDT,4h,-0.104,-0.624,History_Search
APEX-USDT,4h,0.005,0.03,History_Search
API3-USDT,4h,0.0009,0.0054,History_Search
APR-USDT,4h,0.0014,0.0084,History_Search
ARIA-USDT,4h,0.005,0.03,History_Search
ARK-USDT,4h,-0.0712,-0.4272,History_Search
ARTX-USDT,4h,0.0091,0.0546,History_Search
ASR-USDT,4h,0.005,0.03,History_Search
ASTER-USDT,4h,0.005,0.03,History_Search
AT-USDT,4h,0.005,0.03,History_Search
ATH-USDT,4h,0.005,0.03,History_Search
AUCTION-USDT,4h,-0.7824,-4.6944,History_Search
AVA-USDT,4h,0.005,0.03,History_Search
AVAAI-USDT,4h,0.005399999999999999,0.0324,History_Search
AVICI-USDT,4h,-0.0081,-0.0486,History_Search
AVNT-USDT,4h,-0.050699999999999995,-0.30419999999999997,History_Search
AWE-USDT,4h,-0.0023,-0.0138,History_Search
AXL-USDT,4h,-0.6818000000000001,-4.090800000000001,History_Search
AXS-USDT,4h,0.0013,0.0078,History_Search
B-USDT,4h,0.0034999999999999996,0.020999999999999998,History_Search
B2-USDT,4h,0.005,0.03,History_Search
B3-USDT,4h,0.0809,0.4854,History_Search
BABY-USDT,4h,-0.0038000000000000004,-0.0228,History_Search
BANANA-USDT,4h,0.005,0.03,History_Search
BANANAS31-USDT,4h,0.005,0.03,History_Search
BANK-USDT,4h,0.005,0.03,History_Search
BARD-USDT,4h,0.005,0.03,History_Search
BAS-USDT,4h,0.048299999999999996,0.28979999999999995,History_Search
BB-USDT,4h,0.005,0.03,History_Search
BDX-USDT,4h,0.0085,0.051000000000000004,History_Search
BEAM-USDT,4h,0.005,0.03,History_Search
BEAT-USDT,4h,0.006,0.036000000000000004,History_Search
BERA-USDT,4h,0.0044,0.0264,History_Search
BIGTIME-USDT,4h,0.005,0.03,History_Search
BIO-USDT,4h,0.005,0.03,History_Search
BIRB-USDT,1h,0.005,0.03,History_Search
BITLIGHT-USDT,4h,0.005,0.03,History_Search
BLESS-USDT,4h,0.0466,0.2796,History_Search
BLUAI-USDT,4h,0.0193,0.11580000000000001,History_Search
