Symbol,Interval,symbol_api,interval_s_B,symbol,fundingRate,nextFundingTime,lastPr,nextFundingTime_ms_A,remaining_s_A,in_range_strict,in_range_tol,flag_missing_A,flag_negative_A,flag_too_large_A,checked_at_jst,catalog_file
PIPPIN-USDT,1h,PIPPINUSDT,3600,PIPPINUSDT,0.00005,,0.17688,,,False,False,True,False,False,2026-02-02 23:15:05,bitget_true_catalog_0131_0704.csv
PYR-USDT,1h,PYRUSDT,3600,PYRUSDT,0.000013,,0.357,,,False,False,True,False,False,2026-02-02 23:15:05,bitget_true_catalog_0131_0704.csv
RIVER-USDT,1h,RIVERUSDT,3600,RIVERUSDT,-0.000002,,23.666,,,False,False,True,False,False,2026-02-02 23:15:05,bitget_true_catalog_0131_0704.csv
SENT-USDT,1h,SENTUSDT,3600,SENTUSDT,-0.000831,,0.03468,,,False,False,True,False,False,2026-02-02 23:15:05,bitget_true_catalog_0131_0704.csv
SNT-USDT,1h,SNTUSDT,3600,SNTUSDT,0.000013,,0.0126,,,False,False,True,False,False,2026-02-02 23:15:05,bitget_true_catalog_0131_0704.csv
0G-USDT,4h,0GUSDT,14400,0GUSDT,-0.000394,,0.6149,,,False,False,True,False,False,2026-02-02 23:15:05,bitget_true_catalog_0131_0704.csv
1000000MOG-USDT,4h,1000000MOGUSDT,14400,1000000MOGUSDT,0.00005,,0.1894,,,False,False,True,False,False,2026-02-02 23:15:05,bitget_true_catalog_0131_0704.csv
1000BONK-USDT,4h,1000BONKUSDT,14400,1000BONKUSDT,-0.000006,,0.007133,,,False,False,True,False,False,2026-02-02 23:15:05,bitget_true_catalog_0131_0704.csv
1000CAT-USDT,4h,1000CATUSDT,14400,1000CATUSDT,0.00005,,0.002072,,,False,False,True,False,False,2026-02-02 23:15:05,bitget_true_catalog_0131_0704.csv
1000RATS-USDT,4h,1000RATSUSDT,14400,1000RATSUSDT,0.00005,,0.06618,,,False,False,True,False,False,2026-02-02 23:15:05,bitget_true_catalog_0131_0704.csv
1000SATS-USDT,4h,1000SATSUSDT,14400,1000SATSUSDT,0.00005,,0.00001263,,,False,False,True,False,False,2026-02-02 23:15:05,bitget_true_catalog_0131_0704.csv
