Symbol,Interval,Current_Rate(%),Daily_Rate(%),Exchange
PIPPIN-USDT,1h,-0.0359,-0.8616,Bitget
PYR-USDT,1h,0.0013,0.0312,Bitget
RIVER-USDT,1h,0.005399999999999999,0.1296,Bitget
SENT-USDT,1h,-0.2104,-5.0496,Bitget
SNT-USDT,1h,0.0013,0.0312,Bitget
0G-USDT,4h,-0.2852,-1.7112,Bitget
1000000MOG-USDT,4h,0.005,0.03,Bitget
1000BONK-USDT,4h,0.005,0.03,Bitget
1000CAT-USDT,4h,0.005,0.03,Bitget
1000RATS-USDT,4h,0.005,0.03,Bitget
1000SATS-USDT,4h,0.0049,0.0294,Bitget
1MBABYDOGE-USDT,4h,0.005,0.03,Bitget
1MCHEEMS-USDT,4h,0.005,0.03,Bitget
2Z-USDT,4h,-0.024399999999999998,-0.14639999999999997,Bitget
4-USDT,4h,0.005,0.03,Bitget
A-USDT,4h,0.005,0.03,Bitget
A2Z-USDT,4h,0.005,0.03,Bitget
AAPL-USDT,4h,0.016,0.096,Bitget
ACE-USDT,4h,0.005,0.03,Bitget
ACN-USDT,4h,0.005,0.03,Bitget
ACT-USDT,4h,-0.0429,-0.2574,Bitget
ACU-USDT,4h,-0.0956,-0.5736,Bitget
ACX-USDT,4h,0.005,0.03,Bitget
AERGO-USDT,4h,0.005,0.03,Bitget
AERO-USDT,4h,0.005,0.03,Bitget
AEVO-USDT,4h,0.005,0.03,Bitget
AGI-USDT,4h,0.005,0.03,Bitget
AI-USDT,4h,0.005,0.03,Bitget
AIN-USDT,4h,0.005,0.03,Bitget
AIO-USDT,4h,0.005,0.03,Bitget
AIXBT-USDT,4h,0.005,0.03,Bitget
AKT-USDT,4h,0.005,0.03,Bitget
ALCH-USDT,4h,0.005,0.03,Bitget
ALLO-USDT,4h,0.005,0.03,Bitget
ALT-USDT,4h,0.005,0.03,Bitget
AMZN-USDT,4h,0.005,0.03,Bitget
ANIME-USDT,4h,0.005,0.03,Bitget
API3-USDT,4h,0.005,0.03,Bitget
APP-USDT,4h,0.005,0.03,Bitget
APR-USDT,4h,-0.0056,-0.0336,Bitget
ARC-USDT,4h,0.005,0.03,Bitget
ARIA-USDT,4h,0.005,0.03,Bitget
ARK-USDT,4h,0.005,0.03,Bitget
ARM-USDT,4h,0.005,0.03,Bitget
ASML-USDT,4h,0.005,0.03,Bitget
ASR-USDT,4h,0.005,0.03,Bitget
ASTER-USDT,4h,0.0036999999999999997,0.022199999999999998,Bitget
AT-USDT,4h,0.005,0.03,Bitget
ATH-USDT,4h,0.0024000000000000002,0.014400000000000001,Bitget
AUCTION-USDT,4h,-0.0144,-0.0864,Bitget
AVA-USDT,4h,0.005,0.03,Bitget
AVNT-USDT,4h,0.005,0.03,Bitget
AWE-USDT,4h,0.005,0.03,Bitget
AXL-USDT,4h,-0.021,-0.126,Bitget
AXS-USDT,4h,-0.46849999999999997,-2.811,Bitget
B-USDT,4h,0.005,0.03,Bitget
B2-USDT,4h,0.005,0.03,Bitget
B3-USDT,4h,0.005,0.03,Bitget
BABA-USDT,4h,0.005,0.03,Bitget
BABY-USDT,4h,0.005,0.03,Bitget
BAN-USDT,4h,0.0439,0.2634,Bitget
BANANA-USDT,4h,0.005,0.03,Bitget
BANANAS31-USDT,4h,0.0045000000000000005,0.027000000000000003,Bitget
BANK-USDT,4h,0.005,0.03,Bitget
BARD-USDT,4h,0.005,0.03,Bitget
BAS-USDT,4h,0.005,0.03,Bitget
BB-USDT,4h,0.005,0.03,Bitget
BEAM-USDT,4h,0.005,0.03,Bitget
BEAT-USDT,4h,0.005,0.03,Bitget
BERA-USDT,4h,-0.07200000000000001,-0.43200000000000005,Bitget
BGSC-USDT,4h,0.005,0.03,Bitget
BIGTIME-USDT,4h,0.005,0.03,Bitget
BIO-USDT,4h,0.005,0.03,Bitget
BIRB-USDT,4h,-0.0185,-0.11099999999999999,Bitget
BLESS-USDT,4h,0.005,0.03,Bitget
BMT-USDT,4h,-0.0107,-0.0642,Bitget
BOB-USDT,4h,0.005,0.03,Bitget
BOME-USDT,4h,0.005,0.03,Bitget
BR-USDT,4h,0.005,0.03,Bitget
BRETT-USDT,4h,0.005,0.03,Bitget
BREV-USDT,4h,0.005,0.03,Bitget
BROCCOLI-USDT,4h,0.005,0.03,Bitget
BSU-USDT,4h,0.0173,0.1038,Bitget
BSV-USDT,4h,0.005,0.03,Bitget
C-USDT,4h,0.005,0.03,Bitget
CAKE-USDT,4h,0.005,0.03,Bitget
CAMP-USDT,4h,-0.07730000000000001,-0.46380000000000005,Bitget
CARV-USDT,4h,0.005,0.03,Bitget
CATI-USDT,4h,0.005,0.03,Bitget
CETUS-USDT,4h,0.005,0.03,Bitget
CGPT-USDT,4h,0.005,0.03,Bitget
CHILLGUY-USDT,4h,0.005,0.03,Bitget
CLANKER-USDT,4h,0.005,0.03,Bitget
CLO-USDT,4h,-0.0215,-0.129,Bitget
COAI-USDT,4h,0.005,0.03,Bitget
COIN-USDT,4h,0.005,0.03,Bitget
COOKIE-USDT,4h,0.005,0.03,Bitget
COW-USDT,4h,0.005,0.03,Bitget
CRCL-USDT,4h,0.0388,0.2328,Bitget
CROSS-USDT,4h,0.005,0.03,Bitget
CSCO-USDT,4h,0.005,0.03,Bitget
CTC-USDT,4h,0.005,0.03,Bitget
CTK-USDT,4h,-0.0135,-0.081,Bitget
CVC-USDT,4h,0.0034,0.020399999999999998,Bitget
CVX-USDT,4h,0.005,0.03,Bitget
CYBER-USDT,4h,0.0029,0.0174,Bitget
CYS-USDT,4h,0.005,0.03,Bitget
DEEP-USDT,4h,0.005,0.03,Bitget
DEGEN-USDT,4h,0.005,0.03,Bitget
DEXE-USDT,4h,0.005,0.03,Bitget
